sym,date,gap_pct,gap_bucket,level,time_bucket,break_time,rvol,std_result,std_ret,ret_30m,ret_1h,ret_2h,ret_3h,retest_found,rt_result,rt_ret
FCX,2026-02-03,5.481,gap_2plus,PMH,early,09:41,1.31,SL,-0.5,-0.367,0.312,0.537,-1.27,0,,
FCX,2026-02-06,1.908,gap_1_2,PMH,early,09:36,0.81,SL,-0.5,-1.114,0.165,0.553,0.173,1,SL,-0.5
FCX,2026-02-09,1.162,gap_1_2,PMH,early,09:32,0.55,TP,1.0,1.091,1.957,3.035,2.665,0,,
FCX,2026-02-11,2.909,gap_2plus,PDH,mid,10:21,0.64,SL,-0.5,0.118,0.864,1.477,1.304,1,SL,-0.5
FCX,2026-02-18,2.717,gap_2plus,PMH,early,09:54,0.7,SL,-0.5,-0.373,-0.389,-0.834,-0.27,0,,
FCX,2026-02-25,1.65,gap_1_2,PDH,early,09:38,0.68,SL,-0.5,-1.044,-0.58,-0.043,0.35,1,SL,-0.5
FCX,2026-03-04,1.99,gap_1_2,PMH,early,09:31,0.91,SL,-0.5,-0.223,0.849,-0.819,-1.095,1,SL,-0.5
FCX,2026-03-16,1.508,gap_1_2,PMH,early,09:35,1.0,SL,-0.5,-0.07,0.07,-0.365,-1.112,1,SL,-0.5
FCX,2026-03-23,4.165,gap_2plus,PDH,early,09:41,1.27,TP,1.0,1.353,1.186,0.945,0.63,1,TP,1.0
FCX,2026-03-30,2.428,gap_2plus,PMH,early,09:31,0.76,SL,-0.5,-2.693,-3.211,-3.556,-4.436,0,,
FCX,2026-03-31,3.102,gap_2plus,PMH,early,09:35,0.99,TP,1.0,1.454,2.146,1.064,0.993,1,TP,1.0
FCX,2026-04-01,3.351,gap_2plus,PMH,mid,10:29,1.26,TP,1.0,0.606,0.738,0.77,1.508,1,TP,1.0
FCX,2026-04-08,7.364,gap_2plus,PMH,early,09:46,1.1,SL,-0.5,0.146,-1.057,-0.101,0.705,0,,
FCX,2026-04-10,1.174,gap_1_2,PMH,early,09:33,0.87,SL,-0.5,0.177,0.739,0.118,-0.695,1,SL,-0.5
FCX,2026-04-17,1.596,gap_1_2,PDH,mid,10:10,1.27,TP,1.0,1.226,0.539,1.458,0.762,1,TP,1.0
FCX,2026-04-22,2.686,gap_2plus,PMH,early,09:43,0.95,TP,1.0,0.689,0.1,0.014,-0.029,0,,
FCX,2026-05-05,2.554,gap_2plus,PMH,early,09:31,0.9,SL,-0.5,-1.281,-0.776,0.2,0.401,1,SL,-0.5
