date,side,level,gap_regime,gap_pct,touch_lbl,ep,mfe15,mfe30,mfe60,hit_>=0.50%,hit_>=0.75%
2026-06-11,long,PML,Gap Up,0.895,2nd,699.89,0.2729000271471186,0.4443555415851082,0.6501021589106957,True,False
2026-06-11,long,4H_Sup,Gap Up,0.895,1st,704.37,0.291040220338736,0.291040220338736,0.291040220338736,False,False
2026-06-11,short,PMH,Gap Up,0.895,1st,700.52,0.1356135442242808,0.787986067492717,0.787986067492717,True,True
2026-06-11,short,PMH,Gap Up,0.895,2nd,700.67,0.24262491615167367,0.24262491615167367,0.24262491615167367,False,False
2026-06-11,short,PMH,Gap Up,0.895,3rd+,701.04,0.17688006390505664,0.17688006390505664,0.17688006390505664,False,False
2026-06-12,long,PML,Flat,0.27,1st,716.36,0.6218940197666034,0.6218940197666034,0.7719582332905205,True,True
2026-06-12,long,4H_Sup,Flat,0.27,1st,714.81,0.7470516640785708,0.8400833787999761,0.8967417915250322,True,True
2026-06-12,long,4H_Sup,Flat,0.27,1st,719.25,0.2175877650330281,0.2175877650330281,0.39902676399026826,False,False
2026-06-12,short,PMH,Flat,0.27,1st,718.33,0.1266827224256375,0.5777288989740218,0.5777288989740218,True,False
2026-06-12,short,PMH,Flat,0.27,2nd,718.18,0.5569634353504693,0.5569634353504693,0.5569634353504693,True,False
2026-06-12,short,PMH,Flat,0.27,3rd+,717.95,0.3314994080367707,0.3314994080367707,0.3314994080367707,False,False
2026-06-12,short,1H_Res,Flat,0.27,1st,715.61,0.19982951607720179,0.19982951607720179,0.19982951607720179,False,False
