Sym,Setup,Level,TimeWindow,ExitCfg,N,WR%,PF,EV_pts,MaxDD_pts
NQ,reject,GlobexLow,09:30-09:45,TP25_SL12,48,31.2,0.97,-0.24,-96.0
NQ,breakout,GlobexLow,09:30-09:45,TP25_SL12,70,30.0,0.89,-0.9,-142.0
NQ,breakout,GlobexLow,10:30-11:00,TP25_SL12,10,30.0,0.89,-0.9,-48.0
NQ,reject,GlobexLow,11:00-12:00,TP25_SL12,10,30.0,0.89,-0.9,-36.0
NQ,reject,PriorRTHHigh,10:00-10:30,TP40_SL20,13,30.8,0.89,-1.54,-80.0
NQ,breakout,GlobexLow,09:30-09:45,TP40_SL20,70,30.0,0.86,-2.0,-340.0
NQ,breakout,OR15Low,09:30-09:45,TP25_SL12,214,29.0,0.85,-1.28,-594.0
NQ,reject,OR15Low,09:45-10:00,TP40_SL20,64,29.7,0.84,-2.19,-240.0
NQ,reject,GlobexLow,10:00-10:30,TP40_SL20,17,29.4,0.83,-2.35,-80.0
NQ,reject,PriorRTHLow,09:30-09:45,TP25_SL12,35,28.6,0.83,-1.43,-107.0
NQ,reject,PriorRTHLow,11:00-12:00,TP25_SL12,7,28.6,0.83,-1.43,-24.0
NQ,reject,PriorRTHLow,14:00-close,TP25_SL12,7,28.6,0.83,-1.43,-24.0
NQ,reject,OR15Low,09:45-10:00,TP25_SL12,64,28.1,0.82,-1.59,-128.0
NQ,reject,PriorRTHHigh,09:30-09:45,TP25_SL12,68,27.9,0.81,-1.66,-227.0
NQ,breakout,GlobexLow,11:00-12:00,TP40_SL20,14,28.6,0.8,-2.86,-140.0
NQ,breakout,GlobexLow,14:00-close,TP40_SL20,7,28.6,0.8,-2.86,-80.0
NQ,reject,GlobexHigh,10:00-10:30,TP40_SL20,21,28.6,0.8,-2.86,-180.0
NQ,reject,PriorRTHLow,11:00-12:00,TP40_SL20,7,28.6,0.8,-2.86,-40.0
NQ,reject,PriorRTHLow,14:00-close,TP40_SL20,7,28.6,0.8,-2.86,-40.0
NQ,reject,GlobexHigh,14:00-close,TP25_SL12,17,29.4,0.79,-1.65,-110.5
NQ,breakout,PriorRTHLow,09:45-10:00,TP25_SL12,11,27.3,0.78,-1.91,-72.0
NQ,reject,GlobexHigh,12:00-14:00,TP40_SL20,15,33.3,0.77,-3.08,-80.0
NQ,reject,PriorRTHHigh,09:45-10:00,TP25_SL12,15,26.7,0.76,-2.13,-36.0
NQ,reject,PriorRTHLow,10:00-10:30,TP25_SL12,15,26.7,0.76,-2.13,-72.0
NQ,breakout,PriorRTHLow,09:30-09:45,TP25_SL12,35,25.7,0.72,-2.49,-117.0
NQ,reject,GlobexLow,14:00-close,TP25_SL12,10,30.0,0.71,-2.48,-36.0
NQ,breakout,GlobexLow,12:00-14:00,TP25_SL12,12,25.0,0.69,-2.75,-72.0
NQ,reject,GlobexLow,10:30-11:00,TP25_SL12,12,25.0,0.69,-2.75,-60.0
NQ,reject,PriorRTHHigh,12:00-14:00,TP25_SL12,16,25.0,0.69,-2.75,-132.0
NQ,reject,GlobexLow,09:30-09:45,TP40_SL20,48,25.0,0.68,-4.64,-400.0
NQ,reject,GlobexLow,10:30-11:00,TP40_SL20,12,25.0,0.67,-5.0,-60.0
NQ,reject,PriorRTHHigh,12:00-14:00,TP40_SL20,16,25.0,0.67,-5.0,-160.0
NQ,reject,GlobexHigh,10:00-10:30,TP25_SL12,21,23.8,0.65,-3.19,-131.0
NQ,reject,GlobexLow,09:45-10:00,TP40_SL20,17,23.5,0.62,-5.88,-100.0
NQ,reject,PriorRTHHigh,10:00-10:30,TP25_SL12,13,23.1,0.62,-3.46,-83.0
NQ,breakout,OR15Low,09:30-09:45,TP40_SL20,214,23.4,0.61,-5.98,-1420.0
