sym,time,open,high,low,close,volume,trade_count,vwap
QQQ,2025-12-26 09:27:00-05:00,624.56,624.56,624.56,624.56,300.0,1.0,624.56
QQQ,2025-12-29 08:09:00-05:00,621.23,621.23,621.23,621.23,65.0,2.0,621.23
QQQ,2025-12-29 08:27:00-05:00,621.11,621.11,621.11,621.11,92.0,3.0,621.11
QQQ,2025-12-29 08:46:00-05:00,620.9,620.9,620.9,620.9,200.0,2.0,620.9
QQQ,2025-12-29 08:48:00-05:00,619.82,619.82,619.82,619.82,140.0,1.0,619.82
QQQ,2025-12-29 08:52:00-05:00,619.21,619.21,619.21,619.21,300.0,2.0,619.21
QQQ,2025-12-29 08:53:00-05:00,619.3,619.3,619.3,619.3,170.0,1.0,619.3
QQQ,2025-12-29 08:56:00-05:00,619.73,619.73,619.73,619.73,136.0,4.0,619.73
QQQ,2025-12-29 08:59:00-05:00,619.94,619.94,619.94,619.94,350.0,3.0,619.94
QQQ,2025-12-29 09:01:00-05:00,619.84,619.84,619.84,619.84,130.0,2.0,619.84
QQQ,2025-12-29 09:13:00-05:00,619.71,619.71,619.71,619.71,80.0,2.0,619.71
QQQ,2025-12-29 09:19:00-05:00,619.23,619.23,619.23,619.23,300.0,1.0,619.23
QQQ,2025-12-30 08:31:00-05:00,620.45,620.45,620.45,620.45,40.0,1.0,620.45
QQQ,2025-12-30 08:38:00-05:00,619.97,619.97,619.97,619.97,250.0,3.0,619.97
QQQ,2025-12-30 08:50:00-05:00,619.92,619.92,619.91,619.91,130.0,5.0,619.915556
QQQ,2025-12-30 08:55:00-05:00,619.93,619.93,619.93,619.93,125.0,2.0,619.93
QQQ,2025-12-30 09:10:00-05:00,620.28,620.28,620.28,620.28,150.0,5.0,620.28
QQQ,2025-12-30 09:26:00-05:00,620.09,620.09,620.09,620.09,47.0,1.0,620.09
QQQ,2025-12-30 09:28:00-05:00,619.9,619.9,619.9,619.9,137.0,2.0,619.9
QQQ,2025-12-31 08:24:00-05:00,618.8,618.8,618.8,618.8,60.0,1.0,618.8
QQQ,2025-12-31 08:49:00-05:00,619.72,619.72,619.7,619.7,600.0,7.0,619.70463
QQQ,2025-12-31 08:51:00-05:00,620.15,620.17,620.15,620.17,370.0,9.0,620.160638
QQQ,2025-12-31 09:00:00-05:00,620.38,620.38,620.38,620.38,300.0,1.0,620.38
QQQ,2025-12-31 09:17:00-05:00,620.14,620.14,620.14,620.14,301.0,2.0,620.14
QQQ,2026-01-02 08:22:00-05:00,620.43,620.44,620.43,620.44,175.0,3.0,620.436667
QQQ,2026-01-02 08:29:00-05:00,620.33,620.33,620.33,620.33,185.0,3.0,620.33
QQQ,2026-01-02 08:47:00-05:00,620.27,620.27,620.27,620.27,125.0,3.0,620.27
QQQ,2026-01-02 08:58:00-05:00,620.14,620.14,620.14,620.14,80.0,2.0,620.14
QQQ,2026-01-02 09:04:00-05:00,620.4,620.4,620.39,620.39,220.0,5.0,620.392703
QQQ,2026-01-02 09:13:00-05:00,619.82,619.82,619.82,619.82,105.0,2.0,619.82
QQQ,2026-01-02 09:22:00-05:00,619.62,619.62,619.62,619.62,40.0,1.0,619.62
QQQ,2026-01-02 09:27:00-05:00,620.16,620.2,620.16,620.2,600.0,2.0,620.18
QQQ,2026-01-02 09:28:00-05:00,620.19,620.19,620.19,620.19,300.0,1.0,620.19
QQQ,2026-01-05 08:33:00-05:00,617.22,617.22,617.22,617.22,300.0,1.0,617.22
QQQ,2026-01-05 08:45:00-05:00,617.07,617.07,617.07,617.07,50.0,2.0,617.07
QQQ,2026-01-05 08:49:00-05:00,617.35,617.35,617.35,617.35,300.0,1.0,617.35
QQQ,2026-01-05 08:57:00-05:00,618.06,618.06,618.06,618.06,85.0,3.0,618.06
QQQ,2026-01-05 09:00:00-05:00,618.04,618.04,618.04,618.04,300.0,1.0,618.04
QQQ,2026-01-05 09:01:00-05:00,618.17,618.17,618.17,618.17,101.0,2.0,618.17
QQQ,2026-01-05 09:02:00-05:00,618.23,618.23,618.23,618.23,265.0,5.0,618.23
QQQ,2026-01-05 09:03:00-05:00,618.36,618.41,618.36,618.41,231.0,4.0,618.373812
QQQ,2026-01-05 09:04:00-05:00,618.59,618.59,618.59,618.59,85.0,3.0,618.59
QQQ,2026-01-05 09:05:00-05:00,618.54,618.54,618.32,618.32,365.0,3.0,618.514118
QQQ,2026-01-05 09:06:00-05:00,618.31,618.35,618.28,618.35,263.0,5.0,618.326538
QQQ,2026-01-05 09:19:00-05:00,618.74,618.74,618.71,618.71,601.0,6.0,618.722414
QQQ,2026-01-05 09:22:00-05:00,618.7,618.7,618.7,618.7,325.0,2.0,618.7
QQQ,2026-01-05 09:28:00-05:00,618.79,618.8,618.79,618.8,600.0,2.0,618.795
QQQ,2026-01-05 09:29:00-05:00,619.38,619.38,619.28,619.34,2141.0,9.0,619.329159
QQQ,2026-01-06 08:14:00-05:00,619.16,619.16,619.16,619.16,40.0,1.0,619.16
QQQ,2026-01-06 08:22:00-05:00,619.13,619.13,619.13,619.13,40.0,1.0,619.13
QQQ,2026-01-06 08:30:00-05:00,618.89,618.89,618.89,618.89,40.0,1.0,618.89
QQQ,2026-01-06 08:45:00-05:00,618.86,618.86,618.86,618.86,80.0,1.0,618.86
QQQ,2026-01-06 08:50:00-05:00,618.5,618.5,618.5,618.5,145.0,2.0,618.5
QQQ,2026-01-06 09:00:00-05:00,618.67,618.67,618.66,618.66,350.0,2.0,618.661429
QQQ,2026-01-06 09:01:00-05:00,618.45,618.45,618.45,618.45,100.0,3.0,618.45
QQQ,2026-01-06 09:03:00-05:00,618.45,618.45,618.45,618.45,50.0,1.0,618.45
QQQ,2026-01-06 09:04:00-05:00,618.61,618.61,618.61,618.61,175.0,2.0,618.61
QQQ,2026-01-06 09:14:00-05:00,618.72,618.74,618.72,618.74,190.0,5.0,618.73
QQQ,2026-01-06 09:26:00-05:00,619.06,619.06,619.06,619.06,300.0,1.0,619.06
QQQ,2026-01-06 09:28:00-05:00,619.23,619.23,619.23,619.23,300.0,1.0,619.23
QQQ,2026-01-07 08:09:00-05:00,622.29,622.29,622.29,622.29,170.0,3.0,622.29
